numrooms,squaremeters,numberoffloors,floor,price,district,street,builtyear,ceilinghight,isnewbuilding,seller,bathroomtype,residentialcomplex,repaired,city
3,70.0,,,30000000,,,2024,2.8,True,новостройка,,жана куат (кг),,Жана Куат
1,43.0,9.0,5.0,29600000,ауэзовский,,1991,2.95,False,хозяин недвижимости,совмещенный,,капитальный ремонт,Алматы
2,46.8,5.0,1.0,29000000,турксибский,,2024,2.7,False,хозяин недвижимости,совмещенный,,,Алматы
1,40.0,5.0,1.0,30500000,бостандыкский,,1985,,False,крыша агент,раздельный,,,Алматы
1,44.0,10.0,9.0,28000000,ауэзовский,,2008,2.8,False,крыша агент,совмещенный,,хороший ремонт,Алматы
1,36.4,12.0,12.0,21500000,алатауский,,2017,2.7,False,крыша агент,совмещенный,алмалы,,Алматы
1,43.2,16.0,8.0,26500000,ауэзовский,,2023,3.0,False,крыша агент,совмещенный,everest,черновая отделка,Алматы
2,51.88,,,28845280,алатауский,,2024,2.7,True,новостройка,совмещенный,arena park,,Алматы
2,44.0,13.0,6.0,31900000,алмалинский,,2020,3.0,False,специалист,совмещенный,12 месяцев,свежий ремонт,Алматы
4,135.31,,,148841000,медеуский,,2024,3.0,True,новостройка,2 с/у и более,alma tau residence,,Алматы
1,40.2,9.0,1.0,26000000,алатауский,,2017,2.8,False,крыша агент,совмещенный,нуркент,,Алматы
2,69.0,9.0,9.0,34000000,алатауский,,2010,,False,крыша агент,совмещенный,,,Алматы
1,38.0,9.0,6.0,24500000,ауэзовский,,1986,2.7,False,крыша агент,,,,Алматы
2,49.0,12.0,6.0,24900000,алатауский,,2023,2.75,False,крыша агент,,alatau city,,Алматы
3,64.0,3.0,3.0,39000000,жетысуский,,1981,2.7,False,крыша агент,раздельный,,,Алматы
4,160.85,,,129645100,бостандыкский,,2025,3.0,True,новостройка,2 с/у и более,verdi,,Алматы
1,52.6,,,36820000,алмалинский,,2025,3.0,True,новостройка,совмещенный,rams evo,,Алматы
1,52.6,,,36820000,алмалинский,,2025,3.0,True,новостройка,совмещенный,rams evo,,Алматы
2,48.43,,,23246400,жетысуский,,2025,2.7,True,новостройка,совмещенный,maxima city,,Алматы
1,33.0,10.0,8.0,26000000,ауэзовский,,2022,2.8,False,крыша агент,совмещенный,city plus,,Алматы
2,83.3,13.0,5.0,39000000,ауэзовский,,2024,3.0,False,крыша агент,,new life,,Алматы
1,30.0,9.0,9.0,17500000,наурызбайский,,2023,,False,крыша агент,,eco park alatau,,Алматы
3,87.2,,,88072000,алмалинский,,2025,3.0,True,новостройка,2 с/у и более,legenda,,Алматы
